question,A,B,C,D,answer,file
Which keyboard shortcut in Dataiku DSS is used to go to the Flow?,G + F,G + D,G + A,G + R,A,../data/dataiku\accessibility\index.md
"In Dataiku DSS, which shortcut allows you to toggle between the Details and Actions tab for a selected object within the Flow?",SHIFT + CLICK,SPACE,SHIFT + DRAG,Z,B,../data/dataiku\accessibility\index.md
What is the keyboard shortcut to validate a script within a Code Recipe in Dataiku DSS?,CTRL + ENTER,ALT + A,SHIFT + V,CTRL + F,A,../data/dataiku\accessibility\index.md
Which of the following APIs is NOT listed as an additional API in DSS?,Javascript API,Scala API,Python API,R API,C,../data/dataiku\api\index.md
Which of the following sampling methods returns the first rows of the dataset?,HEAD,RANDOM,FULL,RANDOM-COLUMN,A,../data/dataiku\api\js\index.md
What is the default number of rows returned by the Dataiku Javascript API when no sampling method is specified?,10000,15000,20000,25000,C,../data/dataiku\api\js\index.md
Which method would you use to apply a function to each record object in a DataFrame?,mapRows,mapRecords,getRows,getRecord,B,../data/dataiku\api\js\index.md
Which of the following is NOT a designed use case for the DSS Scala API?,In Scala recipes,In Scala notebooks,In custom (plugin) Scala recipes,In external applications outside DSS,D,../data/dataiku\api\scala\index.md
Which of the following is NOT a type of infrastructure managed by the API Deployer?,Static infrastructure,Kubernetes infrastructure,External platform,Virtual machine infrastructure,D,../data/dataiku\apinode\api-deployment-infrastructures.md
What is the purpose of the Event Server in the context of API infrastructure?,To manage API nodes,To store prediction logs for MLOps monitoring,To authenticate users,To deploy API services,B,../data/dataiku\apinode\api-deployment-infrastructures.md
"Which permission allows a user to create, update, or delete deployments on an API infrastructure?",View,Deploy,Admin,None,B,../data/dataiku\apinode\api-deployment-infrastructures.md
Which tool in Dataiku is used to add documentation to an API endpoint?,API Designer,API Deployer,API Node,API Manager,A,../data/dataiku\apinode\api-documentation.md
What format is used for the documentation of API endpoints in Dataiku?,XML,YAML,OpenAPI JSON,HTML,C,../data/dataiku\apinode\api-documentation.md
Which command can be used to query the OpenAPI documentation from outside Dataiku?,curl -X GET http://<deployment uri>/swagger,curl -X POST http://<deployment uri>/swagger,curl -X PUT http://<deployment uri>/swagger,curl -X DELETE http://<deployment uri>/swagger,A,../data/dataiku\apinode\api-documentation.md
Which of the following is NOT a type of endpoint supported by the API node?,Prediction or Clustering endpoint,Python prediction endpoint,Java function endpoint,SQL query endpoint,C,../data/dataiku\apinode\concepts.md
What is the main object that you manage in the API Deployer?,Endpoint,Deployment,Package,API Service,B,../data/dataiku\apinode\concepts.md
Which of the following is a function of the API Deployer?,Creating and designing APIs,Managing the lifecycle of APIs from development to production,Answering HTTP requests,Performing data lookups in DSS datasets,B,../data/dataiku\apinode\concepts.md
Which of the following types of endpoints are supported for an API Service to be compatible with External Deployments in Dataiku?,"Standard Prediction, Clustering, Custom Prediction (Python) or Python Function","Standard Prediction, Clustering, Custom Prediction (R) or R Function","Standard Prediction, Clustering, Custom Prediction (Java) or Java Function","Standard Prediction, Clustering, Custom Prediction (Scala) or Scala Function",A,../data/dataiku\apinode\deploy-anywhere.md
What is the first step in monitoring a deployed API Service in Dataiku?,Checking the model health,Ensuring the endpoint is up and in sync with the expected setup,Building a feedback loop based on logs,Validating the endpoint in the 'Run and test' tab,B,../data/dataiku\apinode\deploy-anywhere.md
Which of the following is NOT a feature of the 'dataset lookup' endpoint?,Lookup in multiple datasets at once,Retrieve arbitrary number of columns,Return multiple dataset lines for each input lookup record,Lookup based on multiple lookup keys,C,../data/dataiku\apinode\endpoint-dataset-lookup.md
What is the default maximum number of allocated pipelines for a dataset lookup endpoint when using the API Deployer?,1,2,8,16,C,../data/dataiku\apinode\endpoint-dataset-lookup.md
Which of the following is a step in creating a dataset lookup endpoint?,Go to the project homepage,Create a new dataset,Deploy the API service,Configure the database connection,A,../data/dataiku\apinode\endpoint-dataset-lookup.md
Which of the following is a method to deploy an MLflow model?,Using the API,From an Experiment Tracking run,Directly from a Jupyter notebook,Both A and B,D,../data/dataiku\apinode\endpoint-mlflow.md
What are the two possible outputs that can be set in the endpoint settings when exposing an MLflow model?,Raw data and restructured,Raw data and formatted,Structured and unstructured,Binary and text,A,../data/dataiku\apinode\endpoint-mlflow.md
What is the main difference between a Python prediction endpoint and a Python function endpoint in Dataiku?,A Python prediction endpoint can only be used for prediction-like use cases.,A Python function endpoint must output a prediction.,A Python prediction endpoint can store data in a database.,A Python function endpoint has a strict concept of input records.,A,../data/dataiku\apinode\endpoint-python-function.md
Which of the following is NOT a parameter that can be configured for performance tuning of a Python function endpoint in Dataiku?,floor,ceil,cruise,speed,D,../data/dataiku\apinode\endpoint-python-function.md
What is the primary purpose of a DSS managed folder in a custom Python prediction model?,To store the serialized version of the model,To store the training data,To store the API documentation,To store the user credentials,A,../data/dataiku\apinode\endpoint-python-prediction.md
Which method must a regression predictor implement in a custom Python prediction model?,"def classify(self, features_df)","def predict(self, features_df)","def train(self, features_df)","def evaluate(self, features_df)",B,../data/dataiku\apinode\endpoint-python-prediction.md
What is the recommended way to manage external libraries for custom model packages in DSS?,Using the builtin env,Using a code env,Installing them manually on the server,Including them in the project’s libraries folder,B,../data/dataiku\apinode\endpoint-python-prediction.md
Which of the following is NOT a key difference between an R prediction endpoint and an R function endpoint?,An R prediction endpoint has a strict concept of input records and output prediction.,An R function endpoint can perform any kind of action and return any form of result.,An R prediction endpoint can store data in a database or a file.,An R function endpoint does not use dataset-based enrichment features.,C,../data/dataiku\apinode\endpoint-r-function.md
What is the recommended method for deploying custom endpoints that use external libraries in Dataiku?,Using the builtin env,Using a code env,Manually installing libraries on the API node,Using the default DSS environment,B,../data/dataiku\apinode\endpoint-r-function.md
Which parameter in the endpoint tuning settings specifies the maximum number of allocated pipelines at any given time?,floor,ceil,cruise,queue,B,../data/dataiku\apinode\endpoint-r-function.md
What is the purpose of a DSS managed folder in a custom R prediction model?,To store the serialized version of the model,To store the API service logs,To store user credentials,To store the API documentation,A,../data/dataiku\apinode\endpoint-r-prediction.md
Which of the following is a mandatory return value for a classification prediction function in a custom R model?,A single numerical value,A list of class to probability mappings,A single character vector representing the predicted class,A list containing additional response keys,C,../data/dataiku\apinode\endpoint-r-prediction.md
What is the recommended method for using external R packages in a custom model?,Using the builtin env,Using a code env,Installing them manually on the server,Including them in the API request,B,../data/dataiku\apinode\endpoint-r-prediction.md
Which of the following statements is true about exposing a SQL query as a DSS API node endpoint?,Hive and Impala are supported.,Only 'regular' SQL connections are possible.,You do not need to install the JDBC driver on the API node servers.,The API node does not handle pooling connections to the database.,B,../data/dataiku\apinode\endpoint-sql-query.md
What is the purpose of the 'post-commit' option in a SQL query endpoint?,To automatically rollback the transaction after the query execution.,To commit the connection after the execution of the query.,To split the query into multiple statements.,To handle the JDBC driver installation automatically.,B,../data/dataiku\apinode\endpoint-sql-query.md
Which of the following parameters is used to set the maximum number of connections that can be opened to the database in the connection pool?,connectionsEvictionTimeMS,evictionIntervalMS,maxPooledConnections,SQL eviction interval,C,../data/dataiku\apinode\endpoint-sql-query.md
What is the primary function of the DSS API Deployer and API Node?,To create visualizations for data analysis,To expose a model trained using the DSS visual machine learning component as an API,To manage user authentication and authorization,To store large datasets,B,../data/dataiku\apinode\endpoint-std.md
Which of the following is NOT a step in exposing a model as an API?,Train the model in Analysis,Deploy the model to Flow,Create a new API service,Create a new dataset,D,../data/dataiku\apinode\endpoint-std.md
What is the default URL format to query a prediction model API?,/public/api/v1/<service_id>/<endpoint_id>/predict,/public/api/v1/<service_id>/<endpoint_id>/forecast,/public/api/v1/<service_id>/<endpoint_id>/predict-effect,/public/api/v1/<service_id>/<endpoint_id>/analyze,A,../data/dataiku\apinode\endpoint-std.md
Which of the following is NOT a type of endpoint supported by the API node?,Exposing a Visual Model,Exposing a Python prediction model,Exposing a Java function,Exposing a SQL query,C,../data/dataiku\apinode\endpoints.md
What is the primary use case for the API node in Dataiku DSS?,To send the features of a record and receive the prediction for this record.,To store large datasets for machine learning models.,To visualize data in real-time dashboards.,To manage user permissions and roles.,A,../data/dataiku\apinode\enrich-prediction-queries.md
Which deployment mode should generally be preferred when the lookup tables are fairly small?,Referenced data,Bundled data,Distributed data,Centralized data,B,../data/dataiku\apinode\enrich-prediction-queries.md
"In the context of Dataiku DSS, what does the 'data enrichment' feature of the API node do?",It visualizes data in real-time.,It enriches records to predict by looking up additional data from specified tables.,It compresses data for faster processing.,It manages user permissions and roles.,B,../data/dataiku\apinode\enrich-prediction-queries.md
Which of the following steps is NOT part of the process to expose a prediction model as a REST API service?,Create the model,Create the API Service,Perform real queries,Install the DSS API Deployer,D,../data/dataiku\apinode\first-service-apideployer.md
What is the URL format to query a prediction model API created directly from the Flow?,/public/api/v1/<service_id>/<endpoint_id>/predict,/public/api/v1/<service_id>/<endpoint_id>/forecast,/public/api/v1/<service_id>/<endpoint_id>/query,/public/api/v1/<service_id>/<endpoint_id>/model,A,../data/dataiku\apinode\first-service-apideployer.md
What is a good practice to ensure that your endpoint is working as expected?,Deploy the model without testing,Add test queries,Skip the API Deployer step,Directly perform real queries,B,../data/dataiku\apinode\first-service-apideployer.md
Which of the following steps is NOT part of the process to expose a prediction model as a REST API service?,Create the model,Create the API Service,Perform a test query,Install a new DSS instance,D,../data/dataiku\apinode\first-service-manual.md
What is the purpose of creating a version and transferring the package in the API deployment process?,To create a backup of the model,To prepare the model for real-time predictions,To download the associated version package for API node activation,To test the model with new data,C,../data/dataiku\apinode\first-service-manual.md
Which method can only be used for prediction or clustering endpoints when creating an API Service?,Create directly from the Flow,Create the API service then the endpoint in API Designer,Add test queries,Perform real queries,A,../data/dataiku\apinode\first-service-manual.md
Which of the following is NOT a function of the API Deployer in Dataiku DSS?,Defining API infrastructures,Deploying API services on an infrastructure,Monitoring the health and status of deployed APIs,Creating predictive models,D,../data/dataiku\apinode\index.md
"In Dataiku DSS, what is the role of an API node?",Managing the deployment of projects,Answering REST API calls,Creating API services,Monitoring the health of the DSS instance,B,../data/dataiku\apinode\index.md
Which of the following can be exposed using the API Deployer in Dataiku DSS?,Predictive models,Arbitrary Python and R functions,SQL queries,All of the above,D,../data/dataiku\apinode\index.md
Under which circumstances do you need to manually install API nodes?,When using Kubernetes-based infrastructures in the API Deployer.,When using Dataiku Cloud stacks.,When creating a static infrastructure in the API Deployer.,When using Dataiku Cloud.,C,../data/dataiku\apinode\installing-apinode.md
Which of the following is NOT a capability that can be exposed through the DSS API Deployer?,Exposing predictive models,Exposing arbitrary Python and R functions,Exposing SQL queries,Exposing Java functions,D,../data/dataiku\apinode\introduction.md
What is the main use case for API services in Dataiku?,To expose predictive models through a REST API,To manage datasets,To create visualizations,To perform data cleaning,A,../data/dataiku\apinode\introduction.md
Which feature is NOT provided by the DSS API Deployer for predictive models?,Powerful logging and auditing capabilities,A/B testing and multi-version evaluation of models,User-aware version dispatch,Automated data labeling,D,../data/dataiku\apinode\introduction.md
Which command is used to activate the latest version of your endpoint?,./bin/apinode-admin service-switch-to-newest <SERVICE_ID>,./bin/apinode-admin service-set-mapping <SERVICE_ID>,./bin/apinode-admin service-list-generations <SERVICE_ID>,./bin/apinode-admin service-activate-latest <SERVICE_ID>,A,../data/dataiku\apinode\managing_versions.md
What is the purpose of running multiple versions of an endpoint simultaneously?,To reduce server load,To perform A/B testing of machine learning models,To increase the speed of query processing,To ensure backward compatibility,B,../data/dataiku\apinode\managing_versions.md
